serial no.,state,district,Murder with Rape/Gang Rape,Acid Attack (Sec. 326A IPC),Attempt to Acid Attack (Sec. 326B IPC),"Kidnapping & Abduction of Women (Total) (Col.11 to Col.14,Col.17 to Col.19)
Col.25=Col. 28+Col.31+Col.34+Col.37+Col.40+Col.43+Col.52)
",Kidnapping & Abduction (Sec. 336 IPC),Kidnapping & Abduction in order to Murder (Sec. 364 IPC),Kidnapping for Ransom (Sec. 364A IPC),K&A of Women to compel her for marriage (Total) (Col.15+Col.16),Women (Above 18 yrs),Girls (Below 18 yrs),Procuration of Minor Girls (Sec. 366A IPC),"Kidnapping and Abduction of Women – Others (Secs.363A, 365, 367, 368, 369 IPC)",Human Trafficking (Sec. 370 & 370A IPC) ,Selling of Minor Girls (Sec. 372 IPC),Buying of Minor Girls (Sec. 373 IPC),"Rape (Col.24+Col.25) 

",Women (18 Yrs. And above),Girls (Below 18 yrs).1,"Attempt to Commit Rape (Col.27+Col.28)
",Women (18 Yrs. And above).1,Girls (Below 18 yrs).2,"Assault on Women with Intent to Outrage her Modesty (Col.30+Col.31)
",Women (18 Yrs. And above).2,Girls (Below 18 yrs).3,"Insult to the Modesty of Women (Col.33+Col.34)
",Women (18 Yrs. And above).3,Girls (Below 18 yrs).4,"Immoral Traffic (Prevention) Act, 1956 (Total) (Col. 37 to Col.41)
","Procuring, inducing Children for the sake of prostitution (Section 5)",Detaining a person in premises where prostitution is carried on (Section 6),Prostitution in or in the vicinity of public places (Section 7),Seducing or soliciting for purpose of prostitution (Section 8),Child Rape (Sec. 4 & 6 of POCSO Act) / Sec. 376 IPC),Sexual Assault of Children (Sec. 8 & 10 of POCSO Act) / Sec. 354 IPC),Sexual Harassment (Sec. 12 of POCSO Act) / Sec. 509 IPC),"Indecent Representation of Women (Prohibition) Act, 1986",total crimes,Latitude,Longitude,weighted_crimes,normalized_crimes,safety_score
498,Mizoram,Kolasib,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,1,0,0,13,24.1985277,92.71606802,6,0.0008610792192881745,99.91389207807119
499,Mizoram,Lawngtlai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,1,0,0,11,22.34596495,92.81195361,0,0.0,100.0
500,Mizoram,Lunglei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,3,0,0,13,22.95199715,92.63388271,0,0.0,100.0
501,Mizoram,Mamit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,5,0,0,13,23.75590845,92.45173569,0,0.0,100.0
502,Mizoram,Saiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,8,22.4995518,92.97798989,0,0.0,100.0
503,Mizoram,Serchhip,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,6,1,0,0,17,23.3052514,92.84551233,6,0.0008610792192881745,99.91389207807119
504,Mizoram,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5250988,77.2282134,0,0.0,100.0
505,Mizoram,Saitual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,23.6929995,92.965428,0,0.0,100.0
506,Mizoram,Khawzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,3,0,0,14,23.53892045,93.15868391,0,0.0,100.0
507,Mizoram,Hnahthial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,22.9663656,93.01026449,0,0.0,100.0
508,Mizoram,Cyber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7113343,3.0897036,0,0.0,100.0
509,Nagaland,Dimapur,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,0,1,0,17,25.911744,93.721703,0,0.0,100.0
510,Nagaland,Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25.81138215,94.84949683,0,0.0,100.0
511,Nagaland,Kohima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,14,25.6618755,94.1019156,0,0.0,100.0
512,Nagaland,Longleng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26.49031725,94.77214247,0,0.0,100.0
513,Nagaland,Mokokchung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,26.4795861,94.51052755,0,0.0,100.0
514,Nagaland,Mon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,9,54.23592075,-4.514766902,0,0.0,100.0
515,Nagaland,Peren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,25.47907705,93.72563659,0,0.0,100.0
516,Nagaland,Phek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,25.75,94.5,0,0.0,100.0
517,Nagaland,Tuensang,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,26.23421065,94.74155302,9,0.0012916188289322618,99.87083811710677
518,Nagaland,Wokha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.166667,94.25,0,0.0,100.0
519,Nagaland,Zunheboto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,26.0,94.5,0,0.0,100.0
520,Odisha,Angul,0,0,0,173,173,0,0,0,0,0,0,0,2,0,0,26,26,0,11,11,0,329,329,0,94,94,0,1,0,0,1,0,85,8,0,0,1363,20.8382426,85.0973949,1044,0.14982778415614237,85.01722158438577
521,Odisha,Balasore,0,0,0,387,387,0,0,0,0,0,0,0,1,0,0,42,42,0,17,17,0,127,127,0,23,23,0,0,0,0,0,0,69,27,0,0,1289,21.5006421,86.919884,2322,0.33323765786452353,66.67623421354764
522,Odisha,Baragarh,0,0,0,149,149,0,0,0,0,0,0,0,1,0,0,33,33,0,1,1,0,299,299,0,40,40,0,0,0,0,0,0,21,15,0,0,1081,21.3335004,83.6190492,894,0.128300803673938,87.1699196326062
523,Odisha,Berhampur,0,0,0,119,119,0,0,0,0,0,0,0,0,0,0,60,60,0,3,3,0,3,3,0,4,4,0,2,0,0,0,0,47,0,0,0,427,21.49308515,86.63272983,714,0.10246842709529277,89.75315729047072
524,Odisha,Bhadrak,0,2,0,336,336,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,134,134,0,9,9,0,0,0,0,0,0,48,24,0,0,1106,21.0633288,86.5053731,2034,0.2919058553386912,70.80941446613089
525,Odisha,Bolangir,1,0,0,131,131,0,0,0,0,0,0,0,35,0,0,20,20,0,2,2,0,150,150,0,0,0,0,1,0,0,0,0,56,22,0,0,721,20.7502257,83.2499464,796,0.11423650975889782,88.57634902411023
526,Odisha,Boudh,0,0,0,36,36,0,0,0,0,0,0,0,1,0,0,9,9,0,3,3,0,31,31,0,3,3,0,0,0,0,0,0,11,5,0,0,181,20.6407463,83.99697043,216,0.030998851894374284,96.90011481056257
527,Odisha,Cuttack,0,1,0,186,145,0,0,0,0,0,0,41,0,0,0,33,33,0,2,2,0,286,286,0,7,7,0,0,0,0,0,0,41,6,0,0,1076,20.4686,85.8792,879,0.12614810562571757,87.38518943742825
528,Odisha,DCP BBSR,0,0,0,330,330,0,0,0,0,0,0,0,1,0,0,49,49,0,3,3,0,31,31,0,0,0,0,2,0,0,0,2,67,12,0,0,910,20.2778052,85.8131168,1992,0.28587830080367393,71.4121699196326
529,Odisha,DCP CTC,0,0,0,145,145,0,0,0,0,0,0,0,3,0,0,29,29,0,0,0,0,282,282,0,9,9,0,2,0,0,0,2,53,29,0,0,1019,20.4836759,85.8696919,882,0.12657864523536166,87.34213547646384
530,Odisha,Deogarh,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,21,21,0,3,3,0,134,134,0,13,13,0,0,0,0,0,0,23,14,0,0,439,24.4898318,86.6990182,180,0.025832376578645237,97.41676234213547
531,Odisha,Dhenkanal,0,0,0,130,130,0,0,0,0,0,0,0,1,0,0,37,37,0,7,7,0,308,308,0,52,52,0,0,0,0,0,0,41,9,0,0,1119,20.83514935,85.60223048,780,0.11194029850746269,88.80597014925374
532,Odisha,Gajapati,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,45,45,0,19,19,0,0,0,0,0,0,32,6,0,0,328,19.1966026,84.19306336,324,0.04649827784156142,95.35017221584386
533,Odisha,Ganjam,1,0,0,200,200,0,0,0,0,0,0,0,0,0,0,96,96,0,5,5,0,108,108,0,80,80,0,0,0,0,0,0,67,1,0,0,1047,19.3883898,85.0496786,1210,0.17365097588978187,82.63490241102181
534,Odisha,Jagatsinghpur,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,30,30,0,3,3,0,446,446,0,25,25,0,0,0,0,0,0,30,17,0,1,1398,20.2593872,86.1660878,1033,0.1482491389207807,85.17508610792193
535,Odisha,Jajpur,1,1,0,291,291,0,0,0,0,0,0,0,2,0,0,64,64,0,9,9,0,117,117,0,14,14,0,1,0,0,0,1,73,57,0,0,1126,20.8522696,86.3385714,1771,0.25416188289322617,74.58381171067738
536,Odisha,Jharsuguda,0,0,0,58,58,0,0,0,0,0,0,0,1,0,0,26,26,0,0,0,0,24,24,0,4,4,0,0,0,0,0,0,36,18,0,0,279,21.87705125,84.00905064,348,0.04994259471871412,95.00574052812858
537,Odisha,Kalahandi,1,0,0,159,159,0,0,0,0,0,0,0,2,0,0,101,101,0,13,13,0,154,154,0,38,38,0,1,0,0,0,1,66,29,0,0,1030,19.82657565,83.04087019,970,0.1392078071182549,86.07921928817451
538,Odisha,Kandhamal,1,0,0,107,107,0,0,0,0,0,0,0,0,0,0,40,40,0,5,5,0,236,236,0,18,18,0,0,0,0,0,0,50,54,0,0,917,20.13069385,84.07904761,652,0.09357060849598163,90.64293915040183
539,Odisha,Kendrapara,0,0,0,251,251,0,0,0,0,0,0,0,0,0,0,44,44,0,25,25,0,792,792,0,38,38,0,0,0,0,0,0,62,39,0,0,2401,20.50040085,86.43170623,1506,0.2161308840413318,78.38691159586682
540,Odisha,Keonjhar,1,0,0,190,190,0,0,0,0,0,0,0,0,0,0,59,59,0,4,4,0,543,543,0,27,27,0,1,0,0,0,1,95,15,0,0,1759,21.5,85.5,1156,0.16590126291618829,83.40987370838118
541,Odisha,Khurda,0,0,0,119,119,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,639,639,0,11,11,0,2,0,0,0,0,37,13,0,0,1622,21.74013115,77.20039489,714,0.10246842709529277,89.75315729047072
542,Odisha,Koraput,0,0,1,136,136,0,0,0,0,0,0,0,0,0,0,121,121,0,1,1,0,257,257,0,1,1,0,0,0,0,0,0,33,77,0,0,1143,18.7232023,82.61005964,824,0.1182548794489093,88.17451205510906
543,Odisha,Malkangiri,0,0,0,112,112,0,0,0,0,0,0,0,1,0,0,42,42,0,3,3,0,193,193,0,10,10,0,1,0,0,0,0,58,0,0,0,780,18.35835435,81.89823749,672,0.09644087256027555,90.35591274397244
544,Odisha,Mayurbhanj,2,0,0,394,394,0,0,0,0,0,0,0,3,0,0,120,120,0,26,26,0,621,621,0,42,42,0,0,0,0,0,0,149,44,0,0,2604,21.9156338,86.3961824,2384,0.3421354764638347,65.78645235361653
545,Odisha,Nayagarh,1,0,0,89,89,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,93,93,0,0,0,0,0,0,0,0,0,18,15,0,0,482,20.1160666,85.11195644,544,0.07807118254879448,92.19288174512054
546,Odisha,Nabarangpur,0,0,0,93,73,0,0,20,16,4,0,0,3,0,0,14,14,0,2,2,0,230,228,2,12,12,0,0,0,0,0,0,72,11,0,0,808,19.2288319,82.5668344,438,0.06285878300803674,93.71412169919633
547,Odisha,Nuapada,2,0,0,86,86,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,42,42,0,4,4,0,0,0,0,0,0,12,2,0,0,288,20.76909975,82.51862846,536,0.07692307692307693,92.3076923076923
548,Odisha,Puri,1,0,0,242,242,0,0,0,0,0,0,0,0,0,0,41,41,0,4,4,0,52,52,0,48,48,0,0,0,0,0,0,60,14,0,0,849,19.8076083,85.8252538,1462,0.2098163030998852,79.01836969001148
549,Odisha,Rayagada,0,0,0,75,75,0,0,0,0,0,0,0,1,0,0,28,28,0,5,5,0,94,94,0,5,5,0,2,0,0,0,0,52,8,0,0,477,18.96599855,84.19287455,450,0.0645809414466131,93.5419058553387
550,Odisha,Rourkela,1,0,0,108,108,0,0,0,0,0,0,0,1,0,0,68,68,0,2,2,0,187,187,0,14,14,0,1,0,0,0,1,44,43,0,0,849,22.2539994,84.85775201,664,0.09529276693455799,90.4707233065442
551,Odisha,Sambalpur,1,0,0,103,103,0,0,0,0,0,0,0,7,0,0,24,24,0,2,2,0,101,101,0,14,14,0,0,0,0,0,0,46,25,0,0,567,21.4706422,83.9836858,628,0.09012629161882893,90.98737083811712
552,Odisha,Sonepur,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,124,124,0,4,4,0,0,0,0,0,0,25,0,0,0,389,25.7094769,85.13552177,258,0.037026406429391506,96.29735935706086
553,Odisha,SRP(Cuttack),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,0,2,2,0,0,0,0,0,0,1,0,0,0,21,20.4618413,85.8819407,0,0.0,100.0
554,Odisha,SRP(Rourkela),0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28.2516657,76.8144185,24,0.003444316877152698,99.65556831228473
555,Odisha,Sundargarh,0,0,0,71,71,0,0,0,0,0,0,0,1,0,0,49,49,0,0,0,0,105,105,0,5,5,0,0,0,0,0,0,40,10,1,0,512,22.25,84.5,426,0.06113662456946039,93.88633754305397
556,Odisha,CID CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.3469237,-4.0539361,0,0.0,100.0
557,Punjab,Amritsar Rural,0,0,1,84,0,0,0,77,2,75,0,7,0,0,0,22,22,0,2,1,1,42,42,0,1,1,0,0,0,0,0,0,21,6,0,0,407,26.7341997,72.7968425,8,0.001148105625717566,99.88518943742825
558,Punjab,Barnala,0,0,0,32,0,0,0,32,5,27,0,0,0,0,0,7,7,0,1,1,0,9,9,0,1,1,0,1,1,0,0,0,10,4,0,0,148,30.3716802,75.5039887,8,0.001148105625717566,99.88518943742825
559,Punjab,Batala,0,0,0,62,0,0,1,61,14,47,0,0,0,0,0,16,16,0,1,1,0,17,17,0,0,0,0,0,0,0,0,0,20,10,0,0,283,31.8193025,75.1999941,9,0.0012916188289322618,99.87083811710677
560,Punjab,Bathinda,0,0,0,67,0,0,0,63,4,59,0,4,0,0,0,33,33,0,3,2,1,31,31,0,2,2,0,0,0,0,0,0,33,13,0,0,381,30.17948135,75.04710979,0,0.0,100.0
561,Punjab,CP Amritsar,0,0,0,76,1,0,0,72,9,63,0,3,0,0,0,16,16,0,1,1,0,30,30,0,2,2,0,0,0,0,0,0,29,5,0,0,356,31.6419318,74.8616346,6,0.0008610792192881745,99.91389207807119
562,Punjab,CP Jalandhar,1,0,1,76,8,0,0,65,2,63,0,3,2,0,0,22,22,0,2,1,1,39,39,0,0,0,0,0,0,0,0,0,17,12,0,0,376,31.3209883,75.5535164,66,0.00947187141216992,99.05281285878301
563,Punjab,CP Ludhiana,0,0,1,131,0,0,0,125,10,115,0,6,0,0,0,51,51,0,2,2,0,67,67,0,8,8,0,0,0,0,0,0,91,18,0,0,753,29.5466774,74.9441907,8,0.001148105625717566,99.88518943742825
564,Punjab,Faridkot,0,0,0,22,0,0,0,22,1,21,0,0,0,0,0,8,8,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,11,9,0,0,146,30.6014507,74.79501757,0,0.0,100.0
565,Punjab,Fatehgarh Sahib,0,1,0,63,0,0,0,63,23,40,0,0,0,0,0,13,13,0,1,1,0,28,28,0,6,6,0,4,0,0,4,0,17,7,0,0,318,30.66340415,76.38030002,33,0.00473593570608496,99.5264064293915
566,Punjab,Fazilka,0,0,0,49,0,0,0,49,4,45,0,0,1,0,0,39,39,0,2,2,0,13,13,0,1,1,0,0,0,0,0,0,43,13,0,0,314,30.3198406,74.12179433,0,0.0,100.0
567,Punjab,Ferozepur,0,0,0,52,0,0,0,52,15,37,0,0,0,0,0,16,16,0,2,1,1,21,21,0,0,0,0,0,0,0,0,0,13,4,0,0,251,31.1441047,75.9580993,0,0.0,100.0
568,Punjab,GRP,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23.2236194,87.926521,0,0.0,100.0
569,Punjab,Gurdaspur,0,0,0,24,0,0,0,24,11,13,0,0,0,0,0,8,8,0,2,2,0,10,10,0,0,0,0,2,0,2,0,0,17,1,1,0,135,31.9037264,75.22755867,14,0.0020091848450057405,99.79908151549942
570,Punjab,Hoshiarpur,1,0,0,81,0,0,0,79,12,67,0,2,0,0,0,14,14,0,2,0,2,27,27,0,4,4,0,0,0,0,0,0,24,4,0,0,364,31.60929415,75.84597544,10,0.0014351320321469576,99.8564867967853
571,Punjab,Jalandhar Rural,0,0,0,44,1,0,0,43,1,42,0,0,2,0,0,19,19,0,1,0,1,42,40,2,1,1,0,0,0,0,0,0,22,4,0,0,285,31.3278803,75.5716383,6,0.0008610792192881745,99.91389207807119
572,Punjab,Kapurthala,0,1,0,38,0,0,0,36,4,32,0,2,1,0,0,17,17,0,4,4,0,24,24,0,1,1,0,0,0,0,0,0,23,5,0,0,234,31.38564755,75.30533043,9,0.0012916188289322618,99.87083811710677
573,Punjab,Khanna,0,0,0,20,0,0,0,20,0,20,0,0,0,0,0,4,4,0,1,1,0,18,18,0,0,0,0,0,0,0,0,0,10,0,0,0,116,31.0782705,75.1318503,0,0.0,100.0
574,Punjab,Ludhiana Rural,0,0,0,39,0,0,0,36,0,36,0,3,0,0,0,17,17,0,1,0,1,14,14,0,0,0,0,0,0,0,0,0,18,8,0,0,204,30.9013286,75.8326106,0,0.0,100.0
575,Punjab,Mansa,0,0,0,29,0,0,0,29,0,29,0,0,0,0,0,16,16,0,0,0,0,14,14,0,0,0,0,1,0,0,0,0,18,4,0,0,170,29.8764133,75.4889564,0,0.0,100.0
576,Punjab,Moga,0,0,0,36,0,0,0,34,6,28,0,2,0,0,0,17,17,0,0,0,0,23,23,0,3,3,0,0,0,0,0,0,21,3,0,0,216,30.7877554,75.15935899,0,0.0,100.0
577,Punjab,Muktsar,0,0,0,46,0,0,0,44,0,44,0,2,0,0,0,19,19,0,1,1,0,26,26,0,1,1,0,0,0,0,0,0,22,2,0,0,254,30.4692,74.5182,0,0.0,100.0
578,Punjab,Pathankot,0,0,0,16,0,0,0,14,3,11,0,2,0,0,0,8,8,0,1,0,1,11,11,0,0,0,0,0,0,0,0,0,8,2,1,0,97,32.3021899,75.65894064,0,0.0,100.0
579,Punjab,Patiala,1,0,0,105,0,0,0,101,15,86,0,4,0,0,0,32,32,0,1,0,1,28,28,0,3,2,1,2,0,0,2,0,33,26,7,0,510,30.20927775,76.33972314,22,0.003157290470723307,99.68427095292766
580,Punjab,Ropar,0,0,0,23,0,0,0,4,4,0,0,19,0,0,0,15,15,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,22,7,0,0,147,30.9688367,76.526088,0,0.0,100.0
581,Punjab,Sangrur,0,0,0,41,0,0,0,41,0,41,0,0,0,0,0,18,18,0,1,1,0,23,23,0,1,0,1,0,0,0,0,0,19,6,0,0,234,30.135717,75.8533326,0,0.0,100.0
582,Punjab,SAS Nagar,0,0,0,131,0,0,0,131,4,127,0,0,0,0,0,52,52,0,7,7,0,26,26,0,0,0,0,0,0,0,0,0,33,10,0,0,606,30.6904366,76.7116208,0,0.0,100.0
583,Punjab,SBS Nagar,0,0,0,26,0,0,0,26,1,25,0,0,0,0,0,4,4,0,2,1,1,10,10,0,0,0,0,0,0,0,0,0,12,2,0,0,124,30.8260412,75.1989654,0,0.0,100.0
584,Punjab,Tarn Taran,0,0,0,41,0,0,0,41,3,38,0,0,0,0,0,8,8,0,1,1,0,14,14,0,1,1,0,0,0,0,0,0,19,7,0,0,197,31.32124525,74.84166874,0,0.0,100.0
585,Punjab,Bureau of Investigation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34.7939543,-77.4097045,0,0.0,100.0
586,Punjab,Intelligence Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2512699,76.4950531,0,0.0,100.0
587,Punjab,NRI Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7048334,76.7244046,0,0.0,100.0
588,Punjab,Special Task Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7037702,80.5853522,0,0.0,100.0
589,Punjab,Malerkotla,0,0,0,22,0,0,0,22,0,22,0,0,0,0,0,5,5,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,4,1,0,0,101,30.533129,75.8807604,0,0.0,100.0
590,Rajasthan,Ajmer,2,1,1,331,171,0,0,14,13,1,0,146,0,0,0,206,206,0,33,33,0,687,687,0,21,21,0,1,1,0,0,0,59,64,7,0,2706,26.4691,74.639,1071,0.15370264064293915,84.62973593570608
591,Rajasthan,Alwar,0,0,0,201,81,0,0,80,80,0,0,40,0,0,0,253,253,0,135,135,0,276,276,0,0,0,0,0,0,0,0,0,66,55,1,0,1932,27.41400485,76.6170387,486,0.06974741676234214,93.02525832376578
592,Rajasthan,Banswara,0,0,0,275,180,0,0,94,66,28,0,1,0,0,0,148,148,0,7,7,0,118,118,0,1,1,0,0,0,0,0,0,16,2,0,0,1210,23.49150465,74.3502172,1080,0.15499425947187143,84.50057405281287
593,Rajasthan,Baran,0,0,0,143,114,0,0,28,22,6,0,1,0,0,0,73,73,0,4,4,0,137,137,0,0,0,0,0,0,0,0,0,59,57,0,0,858,24.92081645,76.68219847,684,0.0981630309988519,90.18369690011481
594,Rajasthan,Barmer,0,1,0,103,1,0,0,102,40,62,0,0,0,0,0,172,172,0,52,52,0,249,249,0,4,4,0,2,0,0,2,0,52,54,0,0,1373,25.5814853,71.19249223,27,0.0038748564867967855,99.61251435132033
595,Rajasthan,Bharatpur,0,0,0,165,27,0,0,28,26,2,0,110,0,0,0,288,288,0,150,150,0,120,120,0,0,0,0,0,0,0,0,0,46,66,0,0,1586,27.0246959,77.29201163,162,0.02324913892078071,97.67508610792193
596,Rajasthan,Bhilwara,0,0,0,403,188,0,0,34,14,20,0,181,0,0,0,301,301,0,29,29,0,575,575,0,4,4,0,5,0,0,0,0,59,34,1,0,2757,25.48911765,74.33007257,1128,0.1618828932261768,83.81171067738232
597,Rajasthan,Bikaner,0,0,0,113,62,0,0,25,22,3,0,26,0,0,0,123,123,0,30,30,0,253,253,0,0,0,0,0,0,0,0,0,63,38,2,0,1166,28.0159286,73.3171367,372,0.05338691159586682,94.66130884041331
598,Rajasthan,Bundi,0,0,0,147,46,0,0,0,0,0,0,101,0,0,0,86,86,0,9,9,0,216,216,0,0,0,0,0,0,0,0,0,24,14,0,0,954,25.4367659,75.73614709,276,0.03960964408725603,96.0390355912744
599,Rajasthan,Chittorgarh,0,0,0,233,162,0,0,23,13,10,0,48,0,0,0,105,105,0,10,10,0,184,184,0,0,0,0,0,0,0,0,0,36,16,2,0,1141,24.7171578,74.47181294,972,0.13949483352468428,86.05051664753157
600,Rajasthan,Churu,0,0,0,109,14,0,0,7,7,0,0,88,0,0,0,111,111,0,21,21,0,79,79,0,0,0,0,0,0,0,0,0,43,22,0,0,712,28.20477805,74.69129961,84,0.012055109070034443,98.79448909299656
601,Rajasthan,Dausa,0,0,0,131,10,0,0,2,2,0,0,119,0,0,0,146,146,0,14,14,0,85,85,0,0,0,0,0,0,0,0,0,16,19,0,0,789,26.80486585,76.4437457,60,0.008610792192881746,99.13892078071183
602,Rajasthan,Dholpur,1,0,0,110,42,0,0,14,13,1,0,54,0,0,0,110,110,0,23,23,0,78,78,0,0,0,0,0,0,0,0,0,31,46,0,0,734,22.22163015,76.99115206,262,0.037600459242250285,96.23995407577497
603,Rajasthan,Dungarpur,0,0,0,251,0,0,0,251,25,226,0,0,0,0,0,59,59,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,60,13,0,0,1148,23.6723053,73.81664193,0,0.0,100.0
604,Rajasthan,GRP Ajmer,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,1,0,0,52,26.4611932,74.6344924,6,0.0008610792192881745,99.91389207807119
605,Rajasthan,GRP Jodhpur,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26.28027,73.0180997,12,0.001722158438576349,99.82778415614236
606,Rajasthan,Ganganagar,1,0,0,180,147,0,0,7,5,2,0,26,0,0,0,173,173,0,28,28,0,257,257,0,0,0,0,0,0,0,0,0,51,67,1,0,1403,23.7497214,91.87663495,892,0.12801377726750862,87.19862227324914
607,Rajasthan,Hanumangarh,0,0,0,129,98,0,0,11,3,8,0,20,0,0,0,130,130,0,11,11,0,203,203,0,5,5,0,0,0,0,0,0,64,59,0,0,1090,29.3659533,74.29842897,588,0.0843857634902411,91.5614236509759
608,Rajasthan,Jaipur East,1,0,0,137,119,0,0,9,8,1,0,9,0,0,0,134,134,0,11,11,0,206,206,0,4,4,0,0,0,0,0,0,41,34,0,0,1069,28.5878849,77.2519283,724,0.10390355912743973,89.60964408725603
609,Rajasthan,Jaipur North,0,0,0,58,34,0,0,1,1,0,0,23,0,0,0,93,93,0,2,2,0,89,89,0,1,1,0,0,0,0,0,0,31,30,0,0,548,52.0529324,-0.026025,204,0.029276693455797934,97.0723306544202
